  DM mass (GeV)      Acceptance          Uncert			Eff_tot   Err			Eff_fid		Err
              1           0.134           0.004			0.0927    0.003045		0.6918		0.0296
             10           0.333           0.007 		0.2357    0.004855		0.7078		0.0190
             20           0.398           0.007			0.297     0.00545		0.7462		0.0181
             30           0.416           0.008			0.3241    0.005693		0.7791		0.0183
             40           0.425           0.008			0.3355    0.005792		0.7894		0.0182
             50           0.443           0.008			0.3375    0.005809		0.7619		0.0174
             60           0.452           0.008			0.3397    0.005828		0.7515		0.0171
             70           0.454           0.008			0.3524    0.005936		0.7762		0.0174
             80           0.465           0.008			0.3584    0.005987		0.7708		0.0171
             90           0.474           0.008			0.3664    0.006053		0.7730		0.0170
            100           0.473           0.008 		0.3660    0.006722		0.7738		0.0162
            200           0.508           0.009`		0.3818    0.006179 		0.7516		0.0161
            300           0.507           0.009			0.3851    0.006206 		0.7596		0.0162
            400           0.528           0.009 		0.3914    0.006256		0.7413		0.0156
            500           0.540           0.009 		0.3979    0.006308		0.7369		0.0154
            600           0.530           0.009 		0.3951    0.006954		0.7454		0.0149
            700           0.539           0.009 		0.4026    0.006345		0.7469		0.0156
            800           0.539           0.009 		0.3999    0.006324		0.7419		0.0155
            900           0.532           0.009 		0.3935    0.006273		0.7397		0.0156
           1000           0.535           0.009 		0.4047    0.006362		0.7564		0.0158
           1200           0.539           0.009 		0.4025    0.006344		0.7468		0.0156
